ppnr,cond,spacex2,spacex3,spacex4,trial,category,categ,feature1,feature2,feature3,feature4,timeinstructions,count,set,x1,x2,x3,x4,x1_,x2_,x3_,x4_,rating,timerating,age,gender,sat,date,time
1,1,uni,acc,dec,41,TV,3,Price,Screen_size,Number_of_devices,Repair_rating,19.641,5,4,1,2,3,1,$300 ,46_inch,8,10,80,6.723,23,F,0,10/28/2013,1:43:00_PM
1,1,uni,acc,dec,42,TV,3,Price,Screen_size,Number_of_devices,Repair_rating,19.641,6,3,1,2,1,3,$300 ,46_inch,1,90,20,3.136,23,F,0,10/28/2013,1:43:00_PM
1,1,uni,acc,dec,43,TV,3,Price,Screen_size,Number_of_devices,Repair_rating,19.641,7,5,1,3,2,3,$300 ,60_inch,4,90,10,2.886,23,F,0,10/28/2013,1:43:00_PM
1,1,uni,acc,dec,44,TV,3,Price,Screen_size,Number_of_devices,Repair_rating,19.641,8,17,3,3,1,1,$900 ,60_inch,1,10,80,3.853,23,F,0,10/28/2013,1:43:00_PM
1,1,uni,acc,dec,45,TV,3,Price,Screen_size,Number_of_devices,Repair_rating,19.641,9,8,2,1,3,1,$600 ,32_inch,8,10,,4.15,23,F,0,10/28/2013,1:43:00_PM
1,1,uni,acc,dec,46,TV,3,Price,Screen_size,Number_of_devices,Repair_rating,19.641,10,2,1,1,2,2,$300 ,32_inch,4,70,10,6.63,23,F,0,10/28/2013,1:43:00_PM
1,1,uni,acc,dec,47,TV,3,Price,Screen_size,Number_of_devices,Repair_rating,19.641,11,1,1,1,1,1,$300 ,32_inch,1,10,40,2.949,23,F,0,10/28/2013,1:43:00_PM
1,1,uni,acc,dec,48,TV,3,Price,Screen_size,Number_of_devices,Repair_rating,19.641,12,12,2,3,2,1,$600 ,60_inch,4,10,90,7.55,23,F,0,10/28/2013,1:43:00_PM
1,1,uni,acc,dec,49,TV,3,Price,Screen_size,Number_of_devices,Repair_rating,19.641,13,11,2,3,1,2,$600 ,60_inch,$1 ,$70 ,90,2.512,23,F,0,10/28/2013,1:43:00_PM
1,1,uni,acc,dec,50,TV,3,Price,Screen_size,Number_of_devices,Repair_rating,19.641,14,16,3,2,2,1,$900 ,46_inch,$4 ,$10 ,95,3.634,23,F,0,10/28/2013,1:43:00_PM
1,1,uni,acc,dec,51,TV,3,Price,Screen_size,Number_of_devices,Repair_rating,19.641,15,10,2,2,3,3,$600 ,46_inch,$8 ,$90 ,10,3.791,23,F,0,10/28/2013,1:43:00_PM
1,1,uni,acc,dec,52,TV,3,Price,Screen_size,Number_of_devices,Repair_rating,19.641,16,15,3,2,1,2,$900 ,46_inch,$1 ,$70 ,20,2.933,23,F,0,10/28/2013,1:43:00_PM
1,1,uni,acc,dec,53,TV,3,Price,Screen_size,Number_of_devices,Repair_rating,19.641,17,9,2,2,2,2,$600 ,46_inch,$4 ,$70 ,20,5.787,23,F,0,10/28/2013,1:43:00_PM
1,1,uni,acc,dec,54,TV,3,Price,Screen_size,Number_of_devices,Repair_rating,19.641,18,7,2,1,1,3,$600 ,32_inch,$1 ,$90 ,10,2.169,23,F,0,10/28/2013,1:43:00_PM
2,2,uni,dec,acc,1,Apartment,1,Price,Square_footage,Number_of_windows,Sound_insulation,31.965,1,9,2,2,2,2,"$1,250 ",950_sq_ft,$6 ,30_dB,80,19.422,19,M,0,10/28/2013,1:36:00_PM
2,2,uni,dec,acc,2,Apartment,1,Price,Square_footage,Number_of_windows,Sound_insulation,31.965,2,1,1,1,1,1,"$1,000 ",850_sq_ft,$3 ,20_dB,20,12.714,19,M,0,10/28/2013,1:36:00_PM
2,2,uni,dec,acc,3,Apartment,1,Price,Square_footage,Number_of_windows,Sound_insulation,31.965,3,8,2,1,3,1,"$1,250 ",850_sq_ft,$7 ,20_dB,50,7.098,19,M,0,10/28/2013,1:36:00_PM
2,2,uni,dec,acc,4,Apartment,1,Price,Square_footage,Number_of_windows,Sound_insulation,31.965,4,18,3,3,3,3,"$1,500 ","1,050_sq_ft",$7 ,50_dB,100,8.673,19,M,0,10/28/2013,1:36:00_PM
2,2,uni,dec,acc,5,Apartment,1,Price,Square_footage,Number_of_windows,Sound_insulation,31.965,5,14,3,1,3,2,"$1,500 ",850_sq_ft,$7 ,30_dB,65,8.034,19,M,0,10/28/2013,1:36:00_PM
2,2,uni,dec,acc,6,Apartment,1,Price,Square_footage,Number_of_windows,Sound_insulation,31.965,6,2,1,1,2,2,"$1,000 ",850_sq_ft,$6 ,30_dB,55,7.301,19,M,0,10/28/2013,1:37:00_PM
2,2,uni,dec,acc,7,Apartment,1,Price,Square_footage,Number_of_windows,Sound_insulation,31.965,7,17,3,3,1,1,"$1,500 ","1,050_sq_ft",$3 ,20_dB,60,10.483,19,M,0,10/28/2013,1:37:00_PM
2,2,uni,dec,acc,8,Apartment,1,Price,Square_footage,Number_of_windows,Sound_insulation,31.965,8,5,1,3,2,3,"$1,000 ","1,050_sq_ft",$6 ,50_dB,100,7.52,19,M,0,10/28/2013,1:37:00_PM
2,2,uni,dec,acc,9,Apartment,1,Price,Square_footage,Number_of_windows,Sound_insulation,31.965,9,4,1,2,3,1,"$1,000 ",950_sq_ft,$7 ,20_dB,65,10.062,19,M,0,10/28/2013,1:37:00_PM
2,2,uni,dec,acc,10,Apartment,1,Price,Square_footage,Number_of_windows,Sound_insulation,31.965,10,10,2,2,3,3,"$1,250 ",950_sq_ft,$7 ,50_dB,85,7.612,19,M,0,10/28/2013,1:37:00_PM
2,2,uni,dec,acc,11,Apartment,1,Price,Square_footage,Number_of_windows,Sound_insulation,31.965,11,7,2,1,1,3,"$1,250 ",850_sq_ft,$3 ,50_dB,50,6.724,19,M,0,10/28/2013,1:37:00_PM
2,2,uni,dec,acc,12,Apartment,1,Price,Square_footage,Number_of_windows,Sound_insulation,31.965,12,6,1,3,3,2,"$1,000 ","1,050_sq_ft",$7 ,30_dB,75,28.096,19,M,0,10/28/2013,1:38:00_PM
2,2,uni,dec,acc,13,Apartment,1,Price,Square_footage,Number_of_windows,Sound_insulation,31.965,13,12,2,3,2,1,"$1,250 ","1,050_sq_ft",$6 ,20_dB,52,15.927,19,M,0,10/28/2013,1:38:00_PM
