Duration (in seconds),b_wtp3,b_wtp2,b_wtp1,b_qual3,b_qual2,b_qual1,c_wtp3,c_wtp2,c_wtp1,c_qual3,c_qual2,c_qual1,a_wtp3,a_wtp2,a_wtp1,a_qual3,a_qual2,a_qual1,Q35,Q52,Q54_1,Q56,Q58,Q60,Q64,mturkcode
87,NA,NA,NA,NA,NA,NA,700,550,150,10,7,5,NA,NA,NA,NA,NA,NA,2,2,27,5,3,2,1,76866
101,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,400,100,65,11,7,4,5,1,43,5,4,3,1,93339
52,200,120,80,12,8,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2,30,5,NA,4,1,88103
91,NA,NA,NA,NA,NA,NA,280,230,68,13,11,6,NA,NA,NA,NA,NA,NA,3,1,19,"3,5",3,2,1,89190
52,NA,NA,NA,NA,NA,NA,250,200,150,9,5,2,NA,NA,NA,NA,NA,NA,1,1,25,2,4,4,1,26305
54,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,300,150,100,13,7,1,3,1,24,2,4,1,2,45661
85,500,200,50,13,5,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,2,23,5,3,1,1,55068
131,450,325,175,12,10,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,2,28,3,4,2,1,79770
74,NA,NA,NA,NA,NA,NA,600,500,400,11,8,4,NA,NA,NA,NA,NA,NA,1,2,18,"1,2,3,5",3,4,1,53199
65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,450,250,150,12,10,3,2,1,30,5,6,1,1,17168
65,350,200,100,12,9,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,2,24,3,3,5,1,16678
82,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,150,80,50,13,11,8,3,1,24,"2,5",5,1,1,5083
152,285,230,150,10,7,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2,24,"5,6",4,1,1,998
95,80,45,20,10,6,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,1,25,5,3,2,1,36706
82,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,399,299,199,13,11,8,2,2,27,5,4,3,1,22432
46,250,200,150,12,9,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,1,22,5,3,1,1,89872
119,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,400,300,250,11,10,7,4,2,29,5,4,4,1,68745
65,NA,NA,NA,NA,NA,NA,350,280,100,10,8,3,NA,NA,NA,NA,NA,NA,2,1,27,5,4,3,1,66498
125,NA,NA,NA,NA,NA,NA,350,250,150,8,8,8,NA,NA,NA,NA,NA,NA,3,2,48,5,3,1,1,1700
56,299,149,79,12,9,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,1,33,1,3,3,1,85320
157,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,150,60,40,7,2,1,2,1,22,5,3,1,1,96811
181,NA,NA,NA,NA,NA,NA,1000,800,350,13,11,5,NA,NA,NA,NA,NA,NA,2,1,48,5,3,3,1,29485
181,200,150,100,13,10,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,1,25,2,4,3,1,72145
160,NA,NA,NA,NA,NA,NA,175,130,65,13,11,3,NA,NA,NA,NA,NA,NA,2,2,51,5,3,3,1,55204
68,NA,NA,NA,NA,NA,NA,100,80,20,11,8,5,NA,NA,NA,NA,NA,NA,1,1,23,5,3,1,1,2970
75,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,300,150,130,12,9,7,3,2,46,5,2,1,1,31235
131,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,60,20,10,11,6,2,3,2,29,5,3,2,1,74699
102,300,200,100,12,8,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,2,59,5,2,1,1,70958
65,NA,NA,NA,NA,NA,NA,600,500,100,11,9,3,NA,NA,NA,NA,NA,NA,4,1,26,2,6,3,1,78967
115,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,500,350,150,10,7,4,1,1,33,5,6,4,1,29936
164,600,350,75,12,10,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,1,39,"1,5",5,3,1,82967
79,NA,NA,NA,NA,NA,NA,399,350,150,10,8,4,NA,NA,NA,NA,NA,NA,5,2,20,5,3,2,1,98516
62,NA,NA,NA,NA,NA,NA,250,130,30,12,10,3,NA,NA,NA,NA,NA,NA,3,1,31,5,2,2,1,13742
